,model,polyphony,repetitions,tone_span,scale_consistency,ndb
0,Test Set,0.4915292804625653,814.328,66.944,0.682661949779618,
1,baseline_8,0.5707378856330344,388.016,78.448,0.6769566755246994,11.0
2,baseline_10,0.6111751245955112,347.36,83.056,0.6727989907059742,10.0
3,baseline_11,0.6292162292793871,334.416,84.44,0.6722151393149993,7.0
4,baseline_9,0.6054299330775884,373.056,81.312,0.674663422093597,10.0
5,baseline_12,0.6059911110829331,316.816,85.048,0.6725595672751861,9.0
6,performance_rnn_1_5_8,0.568431544030111,377.824,78.84,0.6759501267038113,9.0
7,performance_rnn_1_5_10,0.6218760562332082,354.08,83.24,0.6730113908325939,9.0
8,performance_rnn_1_5_11,0.6342052214862822,343.224,84.464,0.672107007915036,9.0
9,performance_rnn_1_5_9,0.5852179004776072,364.968,81.488,0.6756955329949563,8.0
10,performance_rnn_1_5_12,0.6061357885629289,312.248,85.24,0.6722588936544218,10.0
11,c_rnn_gan_1_5_8,0.5659484080311283,375.248,78.824,0.6763174915758453,9.0
12,c_rnn_gan_1_5_10,0.6125423050811397,351.024,83.0,0.6740276805538268,8.0
13,c_rnn_gan_1_5_11,0.6348672777284078,338.392,84.664,0.6729019139279926,11.0
14,c_rnn_gan_1_5_9,0.5840581364226642,365.184,81.224,0.6749832726761976,9.0
15,c_rnn_gan_1_5_12,0.6053819101191739,316.352,85.304,0.6718598595732788,10.0
